country,name,event, video_id
"Albania","Shkodra Elektronike - Zjerm","eurovision"
"Armenia","Parg - Survivor","eurovision"
"Australia","Go-Jo - Milkshake Man","eurovision", "_08I6mjHSLA"
"Austria","JJ - Wasted Love","eurovision"
"Azerbaijan","Mamagama - Run with U","eurovision", "upbiPJ9uA70"
"Belgium","Red Sebastian - Strobe Lights","eurovision"
"Croatia","","eurovision"
"Cyprus","","eurovision"
"Czechia","Adonxs - Kiss Kiss Goodbye","eurovision"
"Denmark","","eurovision"
"Estonia","Tommy Cash - Espresso macchiato","eurovision"
"Finland","Erika Vikman - Ich komme","eurovision"
"France","","eurovision"
"Georgia","","eurovision"
"Germany","","eurovision"
"Greece","Klavdia - Asteromata","eurovision"
"Iceland","","eurovision"
"Ireland","Emmy - Laika Party","eurovision"
"Israel","","eurovision"
"Italy","","eurovision"
"Latvia","Tautumeitas - Bur man laimi","eurovision"
"Lithuania","Katarsis - Tavo akys","eurovision"
"Luxembourg","Laura Thorn - La poupée monte le son","eurovision"
"Malta","Miriana Conte - Kant","eurovision"
"Montenegro","Nina Žižić - Dobrodošli","eurovision"
"Netherlands","","eurovision"
"Norway","Kyle Alessandro - Lighter","eurovision"
"Poland","Justyna Steczkowska - Gaja","eurovision"
"Portugal","","eurovision"
"San Marino","","eurovision"
"Serbia","","eurovision"
"Slovenia","Klemen - How Much Time Do We Have Left","eurovision"
"Spain","Melody - Esa diva","eurovision"
"Sweden","","eurovision"
"Switzerland","","eurovision"
"Ukraine","Ziferblat - Bird of Pray","eurovision"
"United Kingdom","","eurovision"
